Gene.Symbol,log2_Parental,log2_DTP,ENTREZID
HEXB,22.95657504,23.37006061,3074
HEXD,16.93648207,17.1944814,284004
HIBADH,21.99014464,22.21425979,11112
HIBCH,23.41143035,23.62789219,26275
HK1,25.45387642,26.04827883,3098
HK2,25.72235184,25.58731731,3099
HLCS,21.54958599,21.14204209,3141
HMBS,23.40924409,23.22431196,3145
HMGCL,23.28238568,24.26781801,3155
HMGCR,21.41863214,21.55294773,3156
HMGCS1,24.26213724,24.07395525,3157
HMOX1,18.95742512,18.98537205,3162
HMOX2,24.89495692,25.43173845,3163
HNMT,21.73795076,21.65585737,3176
HPGD,19.69399727,19.76395068,3248
HPRT1,24.24067749,24.11908839,3251
HS2ST1,21.31637856,21.33057141,9653
HSD11B1,15.86919375,16.88299127,3290
HSD17B10,24.28791412,24.7767975,3028
HSD17B12,23.48654358,23.83834585,51144
HSD17B14,18.83994995,18.56303932,51171
HSD17B4,25.33178141,25.84908387,3295
HSD17B7,20.62461216,20.89628771,51478
HSD17B8,21.54768855,20.81013288,7923
HTATIP2,23.17027512,23.32291049,10553
HYKK,17.70604494,18.17112105,123688
IDH1,25.20753016,25.40466468,3417
IDH2,23.46360344,24.59253201,3418
IDH3A,25.26736092,25.58850365,3419
IDH3B,24.65491445,24.84080802,3420
IDH3G,23.20867317,23.56651255,3421
IDI1,23.00471267,22.68840222,3422
IDO1,14.22125753,15.32685681,3620
IDS,15.35815255,15.81398224,3423
IL4I1,18.04113665,19.09525797,259307
IMPA1,23.98875845,24.02343395,3612
IMPA2,21.46838878,21.40901836,3613
IMPDH1,24.41074529,23.80443011,3614
IMPDH2,26.42151793,25.1359095,3615
INPP1,16.51527964,17.05021627,3628
INPP4A,22.6867441,22.93178714,3631
INPP4B,23.15278497,23.42446159,8821
INPP5A,20.04315057,20.27521601,3632
INPP5B,21.52487213,21.25346456,3633
INPP5E,16.75660936,16.80117599,56623
INPP5F,20.18056158,20.02219132,22876
INPP5J,15.88921903,14.76893761,27124
INPPL1,23.00528254,23.25025363,3636
IP6K1,21.30075576,21.12012303,9807
IP6K2,18.48323222,18.16460928,51447
IREB2,22.54532664,22.42938182,3658
ISYNA1,21.94757163,21.73525941,51477
ITPA,22.73719547,22.6118003,3704
ITPK1,20.74207432,20.32519502,3705
ITPKA,17.7678724,17.83689254,3706
ITPKB,20.90356357,20.54178266,3707
ITPKC,21.32054913,21.3515944,80271
IVD,25.00846444,25.18832173,3712
KDSR,22.4019785,22.8428085,2531
KHK,21.52073754,21.29557556,3795
KMO,19.24867524,19.70098064,8564
KMT2A,23.15576486,22.8257033,4297
KMT2B,19.89305476,19.82727129,9757
KMT2C,21.71270911,21.26353311,58508
KMT2D,22.78927577,22.57139082,8085
KMT2E,20.10628526,19.72155064,55904
KMT5B,14.96708946,14.88905107,51111
KYAT1,16.18468161,16.41701134,883
KYNU,18.22554014,20.58563273,8942
LAP3,25.21032967,25.5134144,51056
LBR,22.70458786,22.36985894,3930
LCLAT1,23.34844164,23.39103944,253558
LDHA,25.11022311,25.07007486,3939
LDHB,13.54022744,13.56726346,3945
LDHB,24.08600902,23.62312277,3945
LDHD,16.84601505,16.83284356,197257
LIPA,22.05051284,22.21431503,3988
LOXL2,20.38296559,20.883087,4017
LPIN1,23.25805172,23.24032009,23175
LPIN2,17.60709898,17.99186661,9663
LPIN3,18.59800758,18.98907426,64900
LSS,23.63908826,23.99654563,4047
LTA4H,26.0135388,26.10338284,4048
MAN2B1,23.37184363,23.65950397,4125
MANBA,19.78939062,20.2191405,4126
MAOA,23.04942407,24.36993666,4128
MAT2A,24.79761482,24.1064068,4144
MAT2B,24.21863515,23.78475181,27430
MBOAT1,16.16424528,15.83162551,154141
MBOAT2,20.84164434,21.05748489,129642
MCCC1,21.49957708,21.8620313,56922
MCCC2,23.50751768,23.83637926,64087
MCEE,20.14415371,20.72699077,84693
MDH1,26.94338322,27.09279932,4190
MDH2,26.44010343,26.94420587,4191
MDP1,19.19606328,18.13813094,145553
ME1,25.10473733,24.87257395,4199
ME2,22.54072541,22.57342911,4200
ME3,17.9917797,18.10889081,10873
MECR,22.65061784,23.07779978,51102
MGAT5,19.86183631,19.53875878,4249
MGLL,21.35276041,21.84340781,11343
MGST2,19.86746462,19.90190864,4258
MGST3,22.58806222,24.15697523,4259
MIA3,25.31737336,25.60437738,375056
MINPP1,22.59753305,22.57926691,9562
MLYCD,20.77627086,21.15974712,23417
MMAA,18.82184157,19.03710429,166785
MMUT,22.55928603,22.5956953,4594
MOXD1,19.12671865,19.64867512,26002
MPC2,19.52413895,18.51647836,25874
MPI,21.34059748,21.31285821,4351
MPST,23.91700456,24.10105933,4357
MSMO1,21.60320182,21.82691028,6307
MT-CO2,24.60310834,23.48961354,4513
MT-CO3,18.63545337,18.30599173,4514
MT-ND2,21.75586806,21.36354154,4536
MT-ND3,18.3230507,17.75367257,4537
MT-ND4,17.91626212,17.33826737,4538
MT-ND6,16.76172734,16.4945508,4541
MTAP,21.37797323,21.35921072,4507
MTAP,24.32229318,24.18989761,4507
MTHFD1,19.1851101,18.97630521,4522
MTHFD1L,21.89119355,21.9072784,25902
MTHFD2,23.27848891,23.00660068,10797
MTHFD2L,17.31280892,17.22499188,441024
MTHFR,19.63465219,19.2634319,4524
MTHFS,19.60794878,19.74456504,10588
MTMR1,22.83299255,22.70192788,8776
MTMR14,19.40889872,19.66527256,64419
MTMR2,20.84017894,20.4343784,8898
MTMR3,20.16708451,19.95682247,8897
MTMR6,21.58245782,21.64436374,9107
MTMR8,15.28759303,14.71036387,55613
MTR,21.6713176,21.63437774,4548
MVD,22.73094416,23.31696879,4597
MVK,23.48392311,23.70850885,4598
MYO5B,20.93702756,21.12484821,4645
MYO5B,18.69378979,18.91076441,4645
NADK,21.82220179,21.63994249,65220
NADSYN1,21.71846832,22.33116741,55191
NAGA,20.83009554,20.5560663,4668
NAGK,23.76493184,24.60104725,55577
NAMPT,26.3033734,26.9391531,10135
NANP,22.26957164,22.24001986,140838
NANS,24.24506174,24.91137438,54187
NDST1,19.21609695,19.43576293,3340
NDST2,20.32694298,20.41539945,8509
NDUFA10,20.88604211,20.63723766,4705
NDUFA12,20.43432794,20.53549064,55967
NDUFA13,24.2329864,23.73871311,51079
NDUFA2,22.86001214,22.51317502,4695
NDUFA3,18.48859858,18.42812303,4696
NDUFA4,23.65284382,22.69692748,4697
NDUFA5,21.08225912,20.84503108,4698
NDUFA6,22.36549503,21.93550305,4700
NDUFA7,22.56069111,22.27584105,4701
NDUFA8,23.73904642,23.25603434,4702
NDUFA9,23.7298017,23.69239869,4704
NDUFAB1,18.59121656,18.58768054,4706
NDUFB1,18.86310817,18.24958965,4707
NDUFB10,23.57457697,23.17316896,4716
NDUFB11,22.33757125,21.74472362,54539
NDUFB3,23.3066374,23.03501497,4709
NDUFB4,19.14382996,18.64596916,4710
NDUFB5,22.87841083,22.08591113,4711
NDUFB6,22.98171507,22.38166758,4712
NDUFB7,21.88073358,21.84914222,4713
NDUFB8,19.76062053,19.25209847,4714
NDUFB9,22.30341127,21.92969529,4715
NDUFC1,19.22996834,18.55276186,4717
NDUFC2,21.77286397,21.39588891,4718
NDUFS1,25.04335153,24.84014919,4719
NDUFS2,23.20797941,22.92501073,4720
NDUFS3,23.85598407,23.6290054,4722
NDUFS4,21.35768766,20.85027489,4724
NDUFS5,21.81263441,21.57124452,4725
NDUFS6,21.4725339,20.79425681,4726
NDUFS7,23.87236205,23.62218127,374291
NDUFS8,22.97877267,22.85388508,4728
NDUFV1,23.37553494,23.0640306,4723
NDUFV2,23.20016005,23.00945375,4729
NDUFV3,23.7376536,23.55455676,4731
NDUFV3,20.79732442,20.45254732,4731
NEU1,22.16126207,22.13050434,4758
NEU3,17.76358975,17.66125852,10825
NIT2,23.92048862,24.51070462,56954
NME1,20.84763578,20.4839208,4830
NME3,19.89453176,20.35604976,4832
NME4,17.26977222,16.82932495,4833
NME6,18.80127151,19.22925387,10201
NME7,21.26983732,21.00663487,29922
NMNAT1,21.02647899,21.31197184,64802
NNMT,22.23605499,23.4971625,4837
