Reaction,WT_Mean,WT_SEM,WT_Norm_CI_Low,WT_Norm_CI_High,WT_Perc_CI_Low,WT_Perc_CI_High,KO_Mean,KO_SEM,KO_Norm_CI_Low,KO_Norm_CI_High,KO_Perc_CI_Low,KO_Perc_CI_High
ALASm,2321.6679224678,44.6213385635485,2234.21009888324,2409.12574605235,284.265732590316,4829.94652185838,2744.90443953967,39.9457676417349,2666.61073496187,2823.19814411747,383.637520556625,4668.51853626369
ALATHRNaEx,183.191149492876,3.64416645261001,176.04858324576,190.333715739992,10.7282000515135,398.676844140406,723.125612413287,27.2062698749712,669.801323458344,776.449901368231,8.29052937103233,2812.34732612652
ALCD21_D,2585.94988111861,42.6859199011521,2502.28547811235,2669.61428412487,787.152042442489,5773.02651406813,2499.54918672853,55.9188545737695,2389.94823176395,2609.15014169312,400.333715835399,6125.59582109576
ALCD22_D,4087.71867819242,48.6344967535332,3992.39506455549,4183.04229182934,1516.11288898604,6226.93043366921,4056.16830333514,47.8603493478502,3962.36201861336,4149.97458805693,907.991469732406,6080.12230448336
ALCD2y,288.296755369812,3.8334390398112,280.783214851782,295.810295887842,17.1768095661059,473.512965934975,266.020738770917,5.8622244944651,254.530778761765,277.510698780068,16.3014412357102,648.778978338713
ALDD20xm,0.387110727058426,0.00630644839506978,0.37475008820409,0.399471365912763,0.0308216433823773,0.788041510784513,0.215475729791764,0.00698284534749677,0.201789352910671,0.229162106672858,0.0140066071086069,0.763643520310533
ALDD2y,22.9300393330418,0.629136961003095,21.6969308894758,24.1631477766079,1.01920189753833,79.0069845160698,114.129182087512,3.19219807357111,107.872473863313,120.385890311712,4.13521221076535,384.85712311878
ALDSTRNte,0,0,0,0,0,0,0,0,0,0,0,0
ALR2,2117.65739847401,32.7240100775879,2053.51833872194,2181.79645822608,394.943934211087,4782.49025920214,1740.12206902481,27.2447548078678,1686.72234960139,1793.52178844823,645.865207207434,3503.93117794407
ALR3,2117.65739847401,32.7240100775879,2053.51833872194,2181.79645822608,394.943934211087,4782.49025920214,1740.12206902481,27.2447548078678,1686.72234960139,1793.52178844823,645.865207207434,3503.93117794407
AMACR2p,7.54060301609873e-48,7.69091758941649e-65,7.54060301609873e-48,7.54060301609873e-48,7.54060301609874e-48,7.54060301609874e-48,1.44475100864367e-47,9.99819286624143e-64,1.44475100864367e-47,1.44475100864367e-47,1.44475100864367e-47,1.44475100864367e-47
AMETt2m,188.602684788655,17.3812875627063,154.535361165751,222.670008411559,-864.861199818177,938.567604503723,-101.585639374903,20.3501775969846,-141.471987464992,-61.6992912848128,-977.899179017198,847.244010625063
AMPDA,3.4085535302927,0.0914664222099355,3.22927934276123,3.58782771782417,0.111456333611221,10.7120262463589,7.19374463755048,0.195378152066837,6.81080345949948,7.57668581560148,0.125992348572583,22.2577604139091
AMY2e,48.7628037545456,0.973708615880091,46.8543348674206,50.6712726416705,8.75881972599147,105.561812992878,14.154483687074,0.348081981077892,13.4722430041614,14.8367243699867,1.23345888334275,38.9629167249664
ANDRSTRNGLCte,0,0,0,0,0,0,0,0,0,0,0,0
